Depth(ft),Block Position(ft),ROP Avg(fph),Total Flow(gpm),Pres Xducer 1(psig),AGRC(api),Hookload Avg(klb),DCWA(klb),DCWX(klb),WOB Avg(klb),Torque Abs Avg(f-kp),DCTA(f-p),DCTX(f-p),DCBA(f-p),DCD(deg),RPM Surface Avg(rpm),Ann Press - EMW(ppg),Temp Annulus(degF),Dens Mud In Avg(ppg),GP_Min_RPM(rpm),GP_Mean_RPM(rpm),GP_Max_RPM(rpm),GP_Tor_Eff(NONE),RPM(rpm),RPM Max(rpm),RPM Min(rpm),StickSlip Ind(NONE),AVGX-M5(g),AVGY-M5(g),AVGZ-M5(g),PEAKX-M5(g),PEAKY-M5(g),PEAKZ-M5(g),DDS Avg X(g),DDS Avg Y(g),DDS Avg Z(g),DDS Peak X(g),DDS Peak Y(g),DDS Peak Z(g),DDS Avg X(g),DDS Avg Y(g),DDS Avg Z(g),DDS Peak X(g),DDS Peak Y(g),DDS Peak Z(g)
    17054.0000,61.3588,433.3540,952.1418,4868.8418,79.4372,756.1393,-2.1760,-0.0860,5.4257,10.2207,708.0000,1260.0000,5699.0000,257.1400,71.2869,13.1106,142.5200,12.6000,71.1144,82.0277,92.1643,86.7647,71.0400,79.5000,61.5000,25,0.1700,0.1700,0.0200,0.8000,0.6000,0.4000,0.2000,0.4000,0.2000,2.0000,2.0000,1.0000,0.2000,0.4000,0.2000,2.0000,2.0000,1.0000
    17054.5000,60.6681,317.7419,951.8956,4868.3350,73.0645,756.7477,-2.5160,0.0340,4.9039,10.4335,640.0000,1028.0000,5931.0000,282.8540,71.1475,13.0989,142.5200,12.6000,69.7838,79.6778,88.8676,87.6471,71.0400,79.5000,61.5000,25,0.1200,0.1600,0.0200,0.8000,1.0000,0.2000,0.2000,0.4000,0.2000,2.0000,2.0000,1.0000,0.2000,0.4000,0.2000,2.0000,2.0000,1.0000
    17055.0000,60.1821,205.5209,952.1418,4869.3481,69.4059,758.4318,-4.0340,-1.8660,3.1483,9.5359,738.0000,1156.0000,5626.0000,308.5680,71.3115,13.1019,142.5200,12.6000,70.2656,82.0277,92.9527,85.7353,71.0400,79.5000,61.5000,25,0.1000,0.1600,0.0200,0.8000,0.6000,0.4000,0.2000,0.2000,0.2000,2.0000,2.0000,1.0000,0.2000,0.4000,0.2000,2.0000,2.0000,1.0000
    17055.5000,59.6746,128.0886,952.1418,4866.8149,57.2619,758.5428,-3.6680,-1.8140,3.0340,9.9386,648.0000,996.0000,5069.0000,308.5680,71.2049,13.1128,142.7000,12.6000,70.2656,82.0277,92.9527,85.7353,71.3600,76.5000,65.5000,15,0.1000,0.1500,0.0200,1.2000,0.6000,0.4000,0.2000,0.4000,0.2000,2.0000,2.0000,1.0000,0.2000,0.4000,0.2000,2.0000,2.0000,1.0000
    17056.0000,59.1860,105.9273,952.1418,4864.7881,80.0609,758.5998,-2.1280,-0.1160,2.9816,10.1842,596.0000,882.0000,4939.0000,282.8540,71.1475,13.1147,142.7000,12.6000,69.8920,80.6177,90.5801,86.7647,71.3600,76.5000,65.5000,15,0.1300,0.1200,0.0200,1.2000,0.6000,0.2000,0.2000,0.4000,0.2000,2.0000,2.0000,1.0000,0.2000,0.4000,0.2000,2.0000,2.0000,1.0000
    17056.5000,58.6805,103.6612,952.1418,4873.9087,68.9501,747.5301,-2.3720,0.1020,13.8697,11.8689,534.0000,966.0000,4804.0000,334.2820,71.1475,13.1278,142.7000,12.6000,69.8920,80.6177,90.5801,86.7647,71.0400,73.5000,68.0000,8,0.1300,0.1500,0.0200,0.8000,1.4000,0.4000,0.2000,0.4000,0.2000,2.0000,3.0000,1.0000,0.2000,0.4000,0.2000,2.0000,2.0000,1.0000
    17057.0000,58.2326,109.6883,952.1418,4864.7881,57.9409,745.9678,0.9280,3.6900,15.5120,12.3393,1326.0000,2490.0000,4792.0000,231.4260,71.1475,13.1094,142.7000,12.6000,74.3422,80.1478,85.5401,92.7941,70.7200,76.5000,64.0000,18,0.0900,0.1100,0.0200,0.8000,0.6000,0.4000,0.2000,0.4000,0.2000,2.0000,2.0000,1.0000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000
    17057.5000,57.6677,0.0000,952.1418,4849.5869,73.0157,751.0229,5.4640,9.3860,10.5642,15.4930,2854.0000,3956.0000,4627.0000,282.8540,80.2004,13.1260,142.7000,12.6000,74.3422,80.1478,85.5401,92.7941,70.7200,76.5000,64.0000,18,0.1900,0.2200,0.0300,1.6000,2.6000,0.4000,0.8000,0.8000,0.2000,3.0000,4.0000,1.0000,0.4000,0.4000,0.2000,5.0000,3.0000,1.0000
    17058.0000,57.1929,90.8783,952.1418,4844.0137,86.5244,750.2025,5.7040,9.6140,11.3946,14.8210,2968.0000,4024.0000,3840.0000,205.7120,80.1639,13.1098,142.7000,12.6000,74.7782,80.6177,86.0417,92.7941,75.8400,92.0000,66.0000,34,0.1800,0.1700,0.0300,0.6000,1.0000,0.4000,0.4000,0.4000,0.2000,4.0000,2.0000,1.0000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000
    17058.5000,56.6674,67.7693,952.1418,4845.0269,73.7636,748.6620,9.6080,13.7400,12.8787,15.4768,4108.0000,5302.0000,3786.0000,154.2840,80.2243,13.1139,142.8800,12.6000,74.7782,80.6177,86.0417,92.7941,79.6800,85.5000,72.5000,16,0.1700,0.1700,0.0200,0.6000,1.4000,0.4000,0.4000,0.2000,0.2000,2.0000,2.0000,1.0000,0.4000,0.4000,0.2000,2.0000,2.0000,1.0000
